Created_at,Tweet,Retweet_count,Favourite_count,User,Followers,Location,Tweet_polarity,Category
2023-01-08 03:25:45+00:00,Head feels full and fuzzy like trying to figure out math and I dont understand severe frustration and inability t http,0,0,texaswinehouse,45434,TX,2,PC
2023-01-08 03:27:13+00:00,RT @user I wanted to share a gentle reminder about the differences between a # and a tantrum. Life isn't easy as a result,13,0,texaswinehouse,45434,TX,1,PC
2023-01-08 03:26:27+00:00,"RT @user # does not stop at 18.

Adults are still autistic.

Age is irrelevant.

Any diagnosed autistic is one meltdown awa",8,0,texaswinehouse,45434,TX,1,PC
2023-01-08 03:26:10+00:00,"RT @user Thread: Autistic adults and public meltdowns.

As an Autistic adult having a meltdown in public can be dangerous for som",12,0,texaswinehouse,45434,TX,2,PC
2023-01-08 03:25:45+00:00,Head feels full and fuzzy like trying to figure out math and I dont understand severe frustration and inability t http,0,0,texaswinehouse,45434,TX,2,PC
2023-01-08 03:23:51+00:00,RT @user You dont know despair until your kid with autism has an unexpected meltdown in a crowded restaurant and the adults wit,45,0,texaswinehouse,45434,TX,2,PC
2023-01-08 03:14:16+00:00,"RT @user The strange combination of depression, autism and ADHD that makes successfully brushing your teeth a moment of real pri",226,0,texaswinehouse,45434,TX,2,PC
2023-01-08 03:14:05+00:00,"RT @user Autism, depression and anxiety go together very frequently. One reason for this, in my view, is because autistic natura",694,0,texaswinehouse,45434,TX,1,PC
2023-01-08 03:13:28+00:00,RT @user Do you struggle with getting in touch with your # in light of your new self awareness or dx? Have years of,1,0,texaswinehouse,45434,TX,1,PC
2023-01-08 03:12:52+00:00,"RT @user Those with autism DO feel compassion &amp; lonliness like everyone else, but find it difficult to express and process like othe",3,0,texaswinehouse,45434,TX,2,PC
2023-01-08 03:12:28+00:00,"RT @user maturity
sufficiency
shutdown
Autism
lonliness",1,0,texaswinehouse,45434,TX,2,PC
2023-01-08 03:12:19+00:00,"RT @user In 2019 autism really shouldnt be used as an assault. Autism can actually be a very serious condition to be in, my sid",5,0,texaswinehouse,45434,TX,2,PC
2023-01-08 03:12:02+00:00,"RT @user We are stronger together  

#BritainGetTalking  
.
.
.
#MentalHealth # # # # #",9,0,texaswinehouse,45434,TX,0,PC
2023-01-08 03:11:50+00:00,"RT @user If you have...

Depression 
Anxiety 
Autism 
Bipolar 
ADHD
Stress
Feel Self-Conscious 
Lonliness

Know you are not alone and",38,0,texaswinehouse,45434,TX,1,PC
2023-01-08 02:50:30+00:00,http,1,3,texaswinehouse,45434,TX,2,PC
2023-01-08 02:44:22+00:00,Check out Nasira-Fazli's video! # http,0,0,texaswinehouse,45434,TX,0,PC
2023-01-08 02:31:04+00:00,RT @user Yall do realize that this just gives credence to the fact that clinical research into autism and ADHD has not gone deep en,9,0,texaswinehouse,45434,TX,2,PC
2023-01-08 02:30:37+00:00,@user So do you like up your cars and stack your blocks  ,0,0,texaswinehouse,45434,TX,1,PC
2023-01-08 02:30:09+00:00,"RT @user I haven't talked about this much because it's something I've been poking at privately, but it is REAL wild that you can g",259,0,texaswinehouse,45434,TX,0,PC
2023-01-08 02:29:52+00:00,"RT @user I speak negatively on burnout but the reality is, without it, I may have never learned I was autistic. I kept putting my",82,0,texaswinehouse,45434,TX,2,PC
2023-01-08 02:29:03+00:00,@user Yesss,0,0,texaswinehouse,45434,TX,0,PC
2023-01-08 03:20:27+00:00,Like Im really bad about always forcing myself to finish food and I hope this lets my brain be better at it. Im http,0,0,2moe2eat,320,aaron  19yo  any prn,2,SI
